dataset,provenance,n,positive,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,ece,brier,nll
TAB,real ECHR legal cases with anonymization gold,2079,219,0.12,0.0958904109589041,0.1065989847715736,0.08279569892473118,0.9041095890410958,0.5927701674277017,0.12500788060045587,0.14803909781526614,0.14713677904874484,0.6878681975616763
JailbreakLLMs,community-collected in-the-wild prompts,5888,636,0.11282147550215882,0.9449685534591195,0.20157638772429984,0.8998476770753998,0.055031446540880505,0.7074893900855979,0.24881063650073287,0.7363159404152037,0.6773148589555978,2.2736134805322807
